DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2021-03-08,0.250,0.500,1.150,2.031,0.740,"1,129.40","102,730","102,740","1,914,765","28,134",102731.14,"58,070","57,985","90,457","3,380",57950.01,"99,595","99,735","102,827",7,99795.69,"120,500","120,400","196,252","5,452",120210.5,"47,710","47,750","3,916",27,47857.91,"42,250","41,475","5,153,269","8,296,841",41522.1,"3,930","4,005","1,196,294","49,380,172",4008.22
2021-03-05,0.250,0.500,1.067,1.995,0.740,"1,126.20","102,730","102,735","1,914,261","12,610",102734.35,"58,100","58,070","90,589","12,592",58072.85,"99,585","99,590","102,677",10,99599.17,"120,225","120,630","196,627","3,434",120544.44,"47,800","47,725","5,154",11,47699.04,"41,470","41,870","5,175,132","10,363,864",41885.71,"4,010","3,970","1,175,517","74,823,806",3974.91
2021-03-04,0.250,0.500,1.035,1.967,0.740,"1,122.90","102,730","102,735","1,914,775","4,901",102731.03,"58,105","58,120","90,667","6,109",58101.17,"99,525","99,500","102,585",36,99516.64,"120,410","120,650","196,660","4,710",120734.04,"47,655","47,610","5,142",36,47618.55,"42,095","42,095","5,154,533","6,777,655",42104.34,"3,950","3,950","1,242,275","80,745,679",3959.63
2021-03-03,0.250,0.500,1.017,1.950,0.740,"1,121.30","102,730","102,725","1,914,794","13,381",102728.73,"58,060","58,105","90,644","2,586",58107.89,"99,545","99,530","102,615",16,99516.1,"120,915","120,820","196,937","6,249",120891.76,"47,545","47,565","5,137",51,47552.08,"42,070","42,640","5,231,928","6,142,052",42720.97,"3,950","3,895","1,203,555","59,093,270",3903.65
2021-03-02,0.250,0.500,1.022,1.970,0.740,"1,121.80","102,725","102,730","1,914,682","24,275",102725.69,"58,095","58,100","90,636","6,604",58074.83,"99,525","99,555","102,641",25,99550.69,"120,670","120,760","196,839","15,610",120686.93,"47,545","47,630","5,144",30,47622.02,"42,705","42,170","5,138,415","8,601,611",42173.59,"3,895","3,940","1,203,670","87,678,111",3945.61
2021-02-26,0.250,0.500,1.020,1.970,0.740,"1,108.40","102,730","102,725","1,916,849","39,030",102725.04,"58,120","58,090","90,620","5,062",58073.25,"99,675","99,570","52,573",12,99567.76,"121,265","120,670","196,692","8,801",120710.85,"47,755","47,610","5,142",16,47640.45,"41,960","41,705","5,088,010","10,297,433",41681.28,"3,965","3,995","1,206,091","112,849,417",3994.73
2021-02-25,0.250,0.500,0.996,1.893,0.740,"1,110.20","102,725","102,730","1,918,791","37,815",102722,"58,100","58,160","87,240","5,585",58140.91,"99,500","99,445","52,507","503,014",99441.51,"121,010","121,525","198,086","31,195",121477.77,"47,260","47,295","5,108",9,47298.45,"42,010","42,890","5,213,280","8,858,726",42949.49,"3,955","3,880","1,170,208","103,065,965",3875.93
2021-02-24,0.250,0.500,1.002,1.853,0.740,"1,110.80","102,715","102,725","1,917,568","53,902",102720.4,"58,130","58,175","87,263","10,300",58151.1,"99,500","99,455","52,512",6,99433.09,"121,050","121,850","198,616","4,332",121862.83,"47,350","47,175","5,095",29,47135.04,"42,250","41,385","5,044,832","10,408,909",41406.04,"3,950","4,030","1,200,940","103,349,471",4029.2
2021-02-23,0.250,0.500,1.015,1.892,0.740,"1,106.50","102,715","102,715","1,916,970","66,262",102718.96,"58,095","58,135","87,203","11,386",58131.76,"99,475","99,505","102,689",36,99476.72,"121,275","121,315","197,743","21,636",121481.32,"47,370","47,410","3,888",38,47301.42,"42,050","42,285","5,105,914","7,733,807",42276.85,"3,970","3,945","1,176,399","78,863,590",3944.36
2021-02-22,0.250,0.500,1.020,1.930,0.740,"1,107.10","102,715","102,720","1,896,519","34,053",102716.54,"58,170","58,095","87,143","7,737",58108.09,"99,480","99,540","102,725",10,99537.99,"121,445","121,200","201,192","6,128",121128.14,"47,330","47,430","3,889",6,47452.89,"43,055","42,330","5,121,930","8,518,245",42374.63,"3,870","3,945","1,185,473","74,485,910",3938.8
2021-02-19,0.250,0.500,0.995,1.877,0.740,"1,105.70","102,725","102,720","1,897,855","17,668",102716.04,"58,185","58,175","87,263","5,082",58157.21,"99,450","99,440","102,622",6,99448.53,"121,845","121,630","214,069","24,355",121624.43,"47,230","47,240","3,874",6,47251.58,"42,440","42,780","5,490,813","9,728,222",42781.41,"3,935","3,900","1,175,070","93,851,152",3896.73
2021-02-18,0.250,0.500,0.985,1.855,0.740,"1,107.70","102,720","102,715","1,926,317","17,274",102712.74,"58,150","58,165","87,248","5,613",58169.85,"99,430","99,430","102,612",6,99427.3,"121,825","121,850","214,456","8,653",121819.27,"47,155","47,165","3,868",6,47155.45,"42,950","42,410","5,481,493","8,841,408",42427.18,"3,890","3,935","1,184,042","57,441,204",3935.45
2021-02-17,0.250,0.500,0.982,1.862,0.740,"1,099.70","102,710","102,715","1,927,858","15,979",102710.46,"58,150","58,150","87,225","4,185",58158.6,"99,475","99,465","102,648",6,99435.11,"121,535","121,775","227,719","23,503",121748.14,"47,325","47,250","3,875",6,47187.96,"43,255","43,025","5,498,595","17,530,618",43107.02,"3,850","3,875","1,139,638","48,362,710",3879.45
2021-02-16,0.250,0.500,0.980,1.845,0.740,"1,103.10","102,705","102,710","1,927,353","28,425",102708.07,"58,115","58,160","87,240","5,767",58163.35,"99,455","99,430","102,612",6,99407.44,"121,665","121,800","231,420","53,840",121886.37,"47,215","47,170","3,868",8,47132.83,"43,475","43,495","5,512,991","8,542,745",43612.43,"3,840","3,830","1,116,445","65,106,651",3838.77
2021-02-15,0.250,0.500,0.994,1.865,0.730,"1,110.10","102,700","102,705","1,897,680","34,466",102704.2,"58,130","58,150","87,225","2,409",58136.07,"99,500","99,490","102,674",6,99468.66,"121,790","121,625","234,736","18,503",121632.5,"47,235","47,260","3,875",30,47227.58,"43,305","43,305","5,462,926","6,603,808",43394.91,"3,850","3,845","1,136,198","58,714,165",3852
